URL ASSOCIÉ;ID CATEGORIE;ID EXPRESSION;TYPE;LABEL POUR TRADUCTION;SYNONYMES;DESCRIPTION (max 220 caractères);;;;;;;;;;;;;;;;;;;
accueil;700;;CATEGORIE;ACCUEIL;accueil, café;;;;;;;;;;;;;;;;;;;;
alimentation;600;;CATEGORIE;ALIMENTATION;alimentation,faim, bouffe, manger, soupe, repas;;;;;;;;;;;;;;;;;;;;
hygiene;300;;CATEGORIE;HYGIENE;hygiene,hygienique;;;;;;;;;;;;;;;;;;;;
formation-emploi;200;;CATEGORIE;FORMATION_EMPLOI;formation, emploi, travailler, travail,job;;;;;;;;;;;;;;;;;;;;
activites;800;;CATEGORIE;ACTIVITES;activites;;;;;;;;;;;;;;;;;;;;
sante;100;;CATEGORIE;SANTE;sante, soins, se soigner, hopital, LAM, lit medicalise, LHSS;;;;;;;;;;;;;;;;;;;;
conseil;400;;CATEGORIE;CONSEIL;conseil, soutien;;;;;;;;;;;;;;;;;;;;
technologie;500;;CATEGORIE;TECHNOLOGIE;technologie, numerique, pc, telephone, smartphone, informatique, internet;;;;;;;;;;;;;;;;;;;;
materiel;900;;CATEGORIE;MATERIEL;materiel, affaires;;;;;;;;;;;;;;;;;;;;
distribution-alimentaire;601;;CATEGORIE;DISTRIBUTION_ALIMENTAIRE;distribution alimentaire, manger, maraude, bouffe, soupe;Point d'arrêt d'une distribution alimentaire. <br><u>Attention :</u></b> Veuillez créer une structure par point de distribution.;;;;;;;;;;;;;;;;;;;
restauration-assise;602;;CATEGORIE;RESTAURATION_ASSISE;restauration assise, manger, restaurant;Repas ser+G23vis assis (petit déjeuner, déjeuner, goûter ou diner).;;;;;;;;;;;;;;;;;;;
douche;301;;CATEGORIE;DOUCHE;douche, laver, se laver, bain, bain-douche, piscine, propre;;;;;;;;;;;;;;;;;;;;
domiciliation;403;;CATEGORIE;DOMICILIATION;DOMICILIATION, demarches, demarches, RSA, adresse, courrier, lettre, boite postale;Adresse postale et/ou administrative.;;;;;;;;;;;;;;;;;;;
vetements;903;;CATEGORIE;VETEMENTS;vestiaire, vetements, vêtements, t-shirt, pantalon, robe, vetir, vestiboutique, pull, manteau;Vêtements gratuits ou à prix symbolique. Préciser le sexe et/ou l'âge dans les conditions.;;;;;;;;;;;;;;;;;;;
animaux;904;;CATEGORIE;ANIMAUX;animaux, animals, chien, chat;Aide aux animaux de compagnie;;;;;;;;;;;;;;;;;;;
addiction;101;;CATEGORIE;ADDICTION;ADDICTION, drogue, alccol, dependance, CAARUD, seringue;Aide aux personnes en situation de dépendance (alcool, cannabis, jeux, etc.);;;;;;;;;;;;;;;;;;;
depistage;102;;CATEGORIE;DEPISTAGE;depistage, VIH, MST, CDAG, SIDA, Hepatites;Dépistage gratuit des maladies sexuellement transmissibles (MST).;;;;;;;;;;;;;;;;;;;
psychologie;103;;CATEGORIE;PSYCHOLOGIE;PSYCHOLOGIE, soutien, ecoute, depression;Soutien psychologique (écoute, permanences psychologue, etc.).;;;;;;;;;;;;;;;;;;;
soins-enfants;104;;CATEGORIE;SOINS_ENFANTS;bébé, soins bébé,enfants, soins enfants, pediatrie, PMI;Soins dédiés aux bébés et/ou enfants. Ex : PMI.;;;;;;;;;;;;;;;;;;;
generaliste;105;;CATEGORIE;GENERALISTE;GENERALISTE,généraliste,géneraliste ,genéraliste,soins, se soigner, docteur,soins médicaux, medecin, médecin;Médecine généraliste, gratuite ou accessible aux personnes sous CMU ou AME.;;;;;;;;;;;;;;;;;;;
dentaire;106;;CATEGORIE;DENTAIRE;DENTAIRE, dentiste, soins dentaire, dents;Soins dentaires, gratuits ou accessibles aux personnes sous CMU ou AME.;;;;;;;;;;;;;;;;;;;
planification;107;;CATEGORIE;PLANIFICATION;PLANIFICATION, suivi grossesse, enceinte, grossesse, accouchement, bebe;Soins pour les femmes enceintes.;;;;;;;;;;;;;;;;;;;
stomatologie;1120;;CATEGORIE;STOMATOLOGIE;stomatologie;;;;;;;;;;;;;;;;;;;;
vaccination;109;;CATEGORIE;VACCINATION;vaccination, vaccin;Vaccins gratuits ou accessibles aux personnes sous CMU ou AME.;;;;;;;;;;;;;;;;;;;
infirmerie;110;;CATEGORIE;INFIRMERIE;INFIRMERIE, soins médicaux,soins infirmiers, se soigner, bobo, pansements;Soins infirmiers (pansements, bandages, médicaments sans ordonnance).;;;;;;;;;;;;;;;;;;;
veterinaire;111;;CATEGORIE;VETERINAIRE;veterinaire, animaux, veto, veterinaire, veterinaire;Soins pour les animaux;;;;;;;;;;;;;;;;;;;
formation-numerique;201;;CATEGORIE;FORMATION_NUMERIQUE;FORMATION NUMERIQUE, atelier, numerique, formation, informatique, ordinateur, connexion;Permanences ou ateliers visant à la maitrise d'outils informatiques.;;;;;;;;;;;;;;;;;;;
formation-francais;202;;CATEGORIE;FORMATION_FRANCAIS;FORMATION FRANCAIS, cours de francais, alphabetisation, français, langue, traduction;Cours de français (alphabétisation, ASL, FLE, etc.).;;;;;;;;;;;;;;;;;;;
accompagnement-emploi;203;;CATEGORIE;ACCOMPAGNEMENT_EMPLOI;accompagnement, emploi,travail, travailler, job, pole ;Aide au retour à l'emploi : ateliers de préparation aux entretiens, aide à la recherche d'emploi, atelier CV, etc.;;;;;;;;;;;;;;;;;;;
chantier-reinsertion;205;;CATEGORIE;CHANTIER_DE_REINSERTION;chantier reinsertion,travail, travailler, job, insertion;Embauche de personnes en insertion.;;;;;;;;;;;;;;;;;;;
soutien-scolaire;206;;CATEGORIE;SOUTIEN_SCOLAIRE;soutien scolaire, aide au devoir, etudes, college, lycee;Soutien scolaire gratuit (préciser le niveau dans la description).;;;;;;;;;;;;;;;;;;;
laverie;302;;CATEGORIE;LAVERIE;laverie, vetements, vêtements, vetement, laver, machine à laver, pressing;Lave-linge en accès libre.;;;;;;;;;;;;;;;;;;;
bien-etre;303;;CATEGORIE;BIEN_ETRE;bien-etre,coiffeur, massage;Ateliers de bien-être : coiffeur, massage, sophrologie, etc. (à préciser dans la description).;;;;;;;;;;;;;;;;;;;
toilettes;304;;CATEGORIE;TOILETTES;toilettes, sanisette, pisser, pipi;Toilettes en accès libre.;;;;;;;;;;;;;;;;;;;
protections-periodiques;305;;CATEGORIE;PROTECTIONS_PERIODIQUES;periodiques, protection periodique, regles, tampon, serviette hygienique, serviette, menstrues;Distribution de produits d'hygiène féminine pour les périodes de règles (tampons, serviettes hygiéniques, etc);;;;;;;;;;;;;;;;;;;
masques;306;;CATEGORIE;MASQUES;masque, protection, covid;Masques de protection;;;;;;;;;;;;;;;;;;;
conseil-logement;401;;CATEGORIE;CONSEIL_LOGEMENT;hebergement, dalo, logement;Permanences d'accès au logement (logement social, DALO, etc.).;;;;;;;;;;;;;;;;;;;
permanence-juridique;402;;CATEGORIE;PERMANENCE_JURIDIQUE;proces, permanence juridique;Permanences juridiques (surendettement, demande d'asile, procès, etc.).;;;;;;;;;;;;;;;;;;;
accompagnement-social;404;;CATEGORIE;ACCOMPAGNEMENT_SOCIAL;accompagnement, assistante sociale, social;Accompagement des personnes dans leur réinsertion (assistantes sociales, permanences, etc.).;;;;;;;;;;;;;;;;;;;
ecrivain-public;405;;CATEGORIE;ECRIVAIN_PUBLIC;ecrivain, demarches, lettre;Aide à la rédaction des couriers administratifs.;;;;;;;;;;;;;;;;;;;
conseil-handicap;406;;CATEGORIE;CONSEIL_HANDICAP;conseil handicap, handicap, AAH;Permanences d'accès aux droits pour les personnes en situation de handicap.;;;;;;;;;;;;;;;;;;;
conseil-administratif;407;;CATEGORIE;CONSEIL_ADMINISTRATIF;conseil administratif, aide administrative, demarches, RSA, CMU, allocations, papiers;Permanences d'aide administrative (RSA, CMU, allocations, chômage, etc.).;;;;;;;;;;;;;;;;;;;
ordinateur;501;;CATEGORIE;ORDINATEUR;numerique, pc, informatique, en ligne, web;Ordinateurs disponibles en accès libre.;;;;;;;;;;;;;;;;;;;
wifi;502;;CATEGORIE;WIFI;wifi, internet, web;Wifi disponible en accès libre.;;;;;;;;;;;;;;;;;;;
prise;503;;CATEGORIE;PRISE;prise, charger, electricite;Prises électriques disponibles en accès libre.;;;;;;;;;;;;;;;;;;;
telephone;504;;CATEGORIE;TELEPHONE;Appel gratuit, telephone, telephone;Téléphone disponible en accès libre.;;;;;;;;;;;;;;;;;;;
numerisation;505;;CATEGORIE;NUMERISATION;reconnect, numerisation, scanner, cloud, coffre-fort;Reconnect, cloud solidaire est un coffre-fort numérique pour numériser les documents des personnes sans-abri;;;;;;;;;;;;;;;;;;;
colis-alimentaire;603;;CATEGORIE;COLIS_ALIMENTAIRE;colis, colis alimentaire, manger, fruits, legumes, panier, repas;Distribution de colis contenant des denrées alimentaires (conserves, légumes, etc.).;;;;;;;;;;;;;;;;;;;
epicerie-sociale;604;;CATEGORIE;EPICERIE_SOCIALE;épicerie, épicerie sociale, epicerie,epicerie sociale, manger, fruits, legumes, panier, repas;Les épiceries solidaires accueillent les personnes en précarité et leur permettent de faire des courses à prix solidaire.;;;;;;;;;;;;;;;;;;;
fontaine;605;;CATEGORIE;FONTAINE;fontaine, boire, eau,soif;Eau potable en accès libre.;;;;;;;;;;;;;;;;;;;
accueil-jour;701;;CATEGORIE;ACCUEIL_JOUR;Accueil, jour, accueil de jour, cafe, se reposer, se poser ;Lieu d'accueil des bénéficaires, proposant une pause pendant la journée.;;;;;;;;;;;;;;;;;;;
hebergement-urgence;708;;CATEGORIE;HEBERGEMENT_URGENCE;hébergement,hebergement d'urgence,urgence, dormir, lit, logement, CHU, halte de nuit;Hébergement à court terme (à la nuitée), accessible directement.;;;;;;;;;;;;;;;;;;;
hebergement-long-terme;703;;CATEGORIE;HEBERGEMENT_LONG_TERME;hébergement,hebergement,long terme, dormir, lit, logement, CHRS;Possibilité d'hébergement à long terme, au sein de la structure ou d'une structure partenaire. Indiquer dans la description les modalités d'accès.;;;;;;;;;;;;;;;;;;;
logement-bas-prix;704;;CATEGORIE;LOGEMENT_BASPRIX;hebergement,hébergement,logement, camping, hotel pas cher, bas prix, bas cout, bas coût;Hébergement temporaire à bas coût (ex : hôtels aux mois, auberges de jeunesse, etc.);;;;;;;;;;;;;;;;;;;
espace-repos;705;;CATEGORIE;ESPACE_REPOS;espace de repos, reposer;Espaces de repos ouverts au public;;;;;;;;;;;;;;;;;;;
halte-nuit;706;;CATEGORIE;HALTE_NUIT;halte de nuit,accueil, halte nuit ;La Halte de Nuit est un lieu d'accueil et de repos pour les personnes sans abri ouvert de 20h à 8h du matin, 7/7 jours.;;;;;;;;;;;;;;;;;;;
activites-diverses;804;;CATEGORIE;ACTIVITES_DIVERSES;activites diverses, animation, divertissement, loisir, s'occuper, culture;Activités diverses : ateliers, activités culturelles, etc. (précisez.);;;;;;;;;;;;;;;;;;;
activites-sportives;801;;CATEGORIE;ACTIVITES_SPORTIVES;activites sportives, sport, foot, basket;Activités sportives : foot, jogging, marche, etc.;;;;;;;;;;;;;;;;;;;
garde-enfants;707;;CATEGORIE;GARDE_ENFANTS;garde enfant, garderie ,enfant;Activité d'un baby-sitter consistant à garder temporairement des enfants en l'abscence de leurs parents;;;;;;;;;;;;;;;;;;;
musee;802;;CATEGORIE;MUSEE;musee, culture;Musée gratuit.;;;;;;;;;;;;;;;;;;;
bibliotheque;803;;CATEGORIE;BIBLIOTHEQUE;bibliotheque, livres, culture;Bibliothèque accessible en accès libre.;;;;;;;;;;;;;;;;;;;
bagagerie;901;;CATEGORIE;BAGAGERIE;bagage, bagagerie, sac, poser, casier;Lieu permettant de conserver des bagages ou matériel.;;;;;;;;;;;;;;;;;;;
boutique-solidaire;902;;CATEGORIE;BOUTIQUE_SOLIDAIRE;boutique solidaire, meubles, accessoires;Boutique vendant du matériel à prix solidaire.;;;;;;;;;;;;;;;;;;;
specialistes-medecine;1100;;CATEGORIE;SPECIALISTES;specialistes,médecin;;;;;;;;;;;;;;;;;;;;
allergologie;1101;;CATEGORIE;ALLERGOLOGIE;ALLERGOLOGIE,allergologue,allergie,pollen,allergique;;;;;;;;;;;;;;;;;;;;
cardiologie;1102;;CATEGORIE;CARDIOLOGIE;CARDIOLOGIE,cooeur,cardilogue;;;;;;;;;;;;;;;;;;;;
dermatologie;1103;;CATEGORIE;DERMATOLOGIE;dermato, dermatologie, dermatologue, peau;;;;;;;;;;;;;;;;;;;;
echographie;1104;;CATEGORIE;ECHOGRAPHIE;ECHOGRAPHIE,scanner;;;;;;;;;;;;;;;;;;;;
endocrinologie;1105;;CATEGORIE;ENDOCRINOLOGIE;ENDOCRINOLOGIE,endocrinologue;;;;;;;;;;;;;;;;;;;;
gastro-enterologie;1106;;CATEGORIE;GASTRO_ENTEROLOGIE;GASTRO ENTEROLOGIE,gastro, gastro-enterologue;;;;;;;;;;;;;;;;;;;;
gynecologie;1107;;CATEGORIE;GYNECOLOGIE;GYNECOLOGIE;Gynécologue,gyneco,gynéco,gynécologue;;;;;;;;;;;;;;;;;;;
kinesitherapie;1108;;CATEGORIE;KINESITHERAPIE;KINESITHERAPIE,kinésithérapeute,kinesitherapeute,kinésitherapeute,kiné,kine;;;;;;;;;;;;;;;;;;;;
mammographie;1109;;CATEGORIE;MAMMOGRAPHIE;MAMMOGRAPHIE,IRM,scanner;;;;;;;;;;;;;;;;;;;;
ophtalmologie;1110;;CATEGORIE;OPHTALMOLOGIE;OPHTALMOLOGIE,ophtalmologue,oeil, oeils, yeux,vue,vision;;;;;;;;;;;;;;;;;;;;
oto-rhino-laryngologie;1111;;CATEGORIE;OTO_RHINO_LARYNGOLOGIE;oto rhino, laryngologogie,rhinlogue;;;;;;;;;;;;;;;;;;;;
nutrition;1112;;CATEGORIE;NUTRITION;NUTRITION,nutritioniste;;;;;;;;;;;;;;;;;;;;
pedicure;1113;;CATEGORIE;PEDICURE;pedicure, pied;Pédicure,pied, podologue;;;;;;;;;;;;;;;;;;;
phlebologie;1114;;CATEGORIE;PHLEBOLOGIE;PHLEBOLOGIE;Phlébite, Phlébologue;;;;;;;;;;;;;;;;;;;
pneumologie;1115;;CATEGORIE;PNEUMOLOGIE;poumons, pneumologue;;;;;;;;;;;;;;;;;;;;
radiologie;1116;;CATEGORIE;RADIOLOGIE;RADIOLOGIE,radiologue, radio,scanner;;;;;;;;;;;;;;;;;;;;
rhumatologie;1117;;CATEGORIE;RHUMATOLOGIE;rhumatologue,RHUMATOLOGIE;;;;;;;;;;;;;;;;;;;;
urologie;1118;;CATEGORIE;UROLOGIE;UROLOGIE,urologue;;;;;;;;;;;;;;;;;;;;
orthophonie;1119;;CATEGORIE;ORTHOPHONIE;ORTHOPHONIE,orthophoniste, oreilles, ouie;;;;;;;;;;;;;;;;;;;;
